
"Склады отгрузки";Weeks;Cubes
;;спрос
Склад12||Склад12_о;W18;4220
Склад12||Склад12_о;W19;5700
Склад12||Склад12_о;W20;4732
Склад12||Склад12_о;W21;6007
Склад12||Склад12_о;W22;7082
Склад12||Склад12_о;W23;6246
Склад12||Склад12_о;W24;5197
Склад12||Склад12_о;W25;6438
Склад12||Склад12_о;W26;5042
Склад12||Склад12_о;W27;5493
Склад12||Склад12_о;W28;6010
Склад12||Склад12_о;W29;4420
Склад12||Склад12_о;W30;3449
Склад12||Склад12_о;W31;4518
Склад12||Склад12_о;W32;3894
Склад12||Склад12_о;W33;3426
Склад12||Склад12_о;W34;2996
Склад12||Склад12_о;W35;2408
Склад12||Склад12_о;W36;3287
Склад12||Склад12_о;W37;3247
Склад12||Склад12_о;W38;2780
Склад12||Склад12_о;W39;5256
Склад12||Склад12_о;W40;4178
Склад12||Склад12_о;W41;4118
Склад12||Склад12_о;W42;4642
Склад12||Склад12_о;W43;5079
Склад12||Склад12_о;W44;3971
Склад12||Склад12_о;W45;1648
Склад12||Склад12_о;W46;2779
Склад12||Склад12_о;W47;2538
Склад12||Склад12_о;W48;2147
Склад12||Склад12_о;W49;3554
Склад12||Склад12_о;W50;2307
Склад12||Склад12_о;W51;3943
Склад12||Склад12_о;W52;5116
Склад12||Склад12_о;W53;6
